NAME_BT,NAME1,BRAND1,NAME2,BRAND2,NAME3,BRAND3,NAME4,BRAND4
TUMBI흧??1D),,,,,,,,
,HDMI 1,,,,,,,
,AMINO STB,AMINO,B&O STAGE,,,,,
,HD+,,,,,,,
,MOVISTAR TV(CASTILLA Y LE횙N) DECODIFICADOR,MOVISTAR TV(CASTILLA Y LE횙N),,,,,,
,RX-A1040,YAMAHA,BD-A1040,YAMAHA,HD+,,,
,BD PLAYER,PANASONIC,SKY Q,PANASONIC,,,,
,FIRE TV STICK,,,,,,,
,T?L?VISEUR DE,PROXIMUS TV,,,,,,
MUSIC FRAME(6B),PC,,,,,,,
,MAGYAR TELEKOM BELT횋RI EGYS횋G,MAGYAR TELEKOM,,,,,,
,??????? ???? ?,,,,,,,
,FIRE TV STICK,,,,,,,
AIRPODS PRO VON JANIN - FIND MY(4F),SKY SET-TOP-BOX,SKY,,,,,,
,HDMI 2,,HDMI 3,,,,,
,APPLE TV,APPLE,,,,,,
,NINTENDOSWITCH,NINTENDO SWITCH,APPLE TV,APPLE,,,,
BOSE NC 700 HP(BF),BOSE BARRE DE SON,BOSE,,,,,,
,FIRE TV STICK,,,,,,,
,TV+ TURKCELL SET 횥ST횥 KUTU,TV+ TURKCELL,,,,,,
,AMAZON FIRETV,,HDMI 4,,HD+,,,
,FERNSEHER IM W,DEUTSCHE TELEKOM,,,,,,
MX-SK72(55),LG CHANNELS,,,,,,,
,TEUFEL SOUNDBAR,TEUFEL,,,,,,
,EE TV,,,,,,,
,EE TV,BT TV,,,,,,
,HDMI 4,,,,,,,
,BD_PLAYER,LG,ATS-C200,YAMAHA,,,,
,,SKY,,,,,,
,ARC ULTRA,SONOS,,,,,,
,FIRE TV STICK,AMAZON,,,,,,
,AVC-X6700H,,,,,,,
,AUDIOSYSTEM,,,,,,,
,-,,,,,,,
,ALTIBOX DIGITALBOKS,ALTIBOX,,,,,,
,FIRE TV STICK,,UBP-X800M2,SONY,,,,
,VODAFONE TV,VODAFONE,,,,,,
,PORTUGAL TELECOM BOX,PORTUGAL TELECOM,,,,,,
,HDMI 1,,,,,,,
HECO ASCADA 2.0(34),,,,,,,,
,AV,,,,,,,
,HDMI 1,,,,,,,
,STREAM BOX,VIRGIN(LONDON),,,,,,
,HD+,,,,,,,
LG S70TY(CF),,,,,,,,
,HDMI 1,,HD+,,,,,
,BD,SONY,HDMI 2,,,,,
,HD+,,,,,,,
,HD+,,,,,,,
LOGITECH BT ADAPTER(83),MAGENTATV ONE,DEUTSCHE TELEKOM,,,,,,
,PLAYSTATION 5,PS5,,,,,,
,HDMI 1,,LG CHANNELS,,,,,
,SKY Q,SKY Q(YORKSHIRE),LG USG10TY,LG,FIRE TV STICK,AMAZON,,
,HDMI 2,,,,,,,
,BBOXTV,BOUYGUES TELECOM,,,,,,
,HDMI 1,,,,,,,
,HDMI 1,,HDMI 2,,,,,
LG SK4D(93),AMAZON FIRETV,,,,,,,
,M키HOLD BELT횋RI EGYS횋G,UPC,,,,,,
,HDMI 1,,,,,,,
MIDDLETON(05),HDMI 1,,,,,,,
,HDMI 2,,,,,,,
,HDMI 2,,,,,,,
,HW-Q930D_N,SAMSUNG,HDMI 3,,,,,
,HDMI 3,,,,,,,
,MAGYAR TELEKOM BELT횋RI EGYS횋G,MAGYAR TELEKOM,,,,,,
,POSEIDON D60,,,,,,,
,HDMI 1,,,,,,,
,PC,,DIGI BELT횋RI EGYS횋G,DIGI,,,,
,VODAFONE TV,VODAFONE,HD+,,,,,
,FIRE TV STICK,AMAZON,,,,,,
,HDMI 1,,,,,,,
BOSE MINI II SOUNDLINK(EF),SKY Q SET-TOP BOX,SKY Q,HOME THEATER,,,,,
,XBOX KONSOLA DO GIER,XBOX,DHT-S517,DENON,,,,
,AMAZON FIRETV,,LG DS90TY,LG,,,,
,HDMI 3,,,,,,,
BKH 272(DB),HDMI 1,,,,,,,
,CANAL+ POLSKA DEKODER,CANAL+ POLSKA,,,,,,
,HDMI 3,,,,,,,
,HDMI 4,,,,,,,
,ARC ULTRA,SONOS,HD+,,,,,
,HDMI 1,,,,,,,
,SKY Q(SCOTLAND CENTRAL (EAST)) SET-TOP BOX,SKY Q(SCOTLAND CENTRAL (EAST)),HDMI 2,,,,,
AIRPODS혻PRO DE MACBOOK(E3),HDMI 3,,LG CHANNELS,,,,,
,KPN DECODER,KPN,,,,,,
,EC6109V1,PROXIMUS TV,LG CHANNELS,,,,,
,MAGYAR TELEKOM BELT횋RI EGYS횋G,MAGYAR TELEKOM,,,,,,
,HDMI 1,,,,,,,
,APPLE TV,APPLE,HW-Q990B,SAMSUNG,HDMI 3,,,
,XBOX GAME CONSOLE,XBOX,HW-Q990D,SAMSUNG,,,,
,HDMI 1,,,,,,,
,KPN DECODER,KPN,PHILIPS B6309,PHILIPS,,,,
,EVOBOX STREAM,POLSAT BOX,,,,,,
,SKY Q,SKY Q,BD,SONY,LG US20A,LG,WII,
,PLAYSTATION 5,PS5,,,,,,
SAMSUNG WIRELESS AUDIO(60),,,,,,,,
GRUNDIG CMS 5000(E7),HD+,,,,,,,
,PC,,,,,,,
,SHIELD,SHIELD,HT-ZF9,SONY,HT-ZF9,SONY,,
,BEIN SET-TOP BOX,BEIN,,,,,,
LG SP2(24),FIRE TV STICK,,,,,,,
PHILIPS MMS2220B(0E),,,,,,,,
,MARIE,SFR,,,,,,
,FIRE TV STICK,AMAZON,,,,,,
,HDMI 1,,,,,,,
,LG SC9S,LG,,,,,,
EW77(DE),AMAZON FIRETV,,,,,,,
LG LAS355B(4A),,,,,,,,
,HDMI 1,,,,,,,
,LG CHANNELS,,,,,,,
,FREEBOX PLAYE,FREE,,,,,,
,HDMI 2,,,,,,,
,HDMI 1,,DESCODIFICADOR,,,,,
,APPLE TV,APPLE,,,,,,
,APPLE TV,APPLE,SOUNDBAR,,XIAOMI TV BOX,XIAOMI,,
,DIGITURK SET 횥ST횥 KUTU,DIGITURK,,,,,,
,APPLE TV,APPLE,HTL3110,PHILIPS,,,,
,HDMI 2,,,,,,,
,HDMI 1,,,,,,,
,FERNSEHER IM W,DEUTSCHE TELEKOM,,,,,,
,EE TV,BT TV,SOUNDBAR,SAMSUNG,,,,
,DEUTSCHE TELEKOM SET-TOP-BOX,DEUTSCHE TELEKOM,,,,,,
,AMAZON FIRE?T,AMAZON,,,,,,
,RAUMFELD,TEUFEL,AMAZON FIRETV,,,,,
,CHROMECAST,,SONOS BEAM,SONOS,APPLE TV,APPLE,,
,LG DS77TY,AMINO,,,,,,
,HDMI 1,,VODAFONE TV(ANDALUC횒A) DECODIFICADOR,VODAFONE TV(ANDALUC횒A),,,,
,ARC ULTRA,SONOS,HIS,DEUTSCHE TELEKOM,,,,
,FREEBOX PLAYER,FREEBOX,,,,,,
,TV IN WOONKAME,FORMULER,,,,,,
,FJERNSYN I SO,ALLENTE,,,,,,
,HDMI 1,,HDMI 2,,,,,
,XBOX GAME CONSOLE,XBOX,SKY Q(LONDON) SET-TOP BOX,SKY Q(LONDON),,,,
,TV HUB MINI,,,,,,,
,HDMI 2,,,,,,,
,AV,,,,,,,
,HDMI 3,,,,,,,
,HDMI 3,,,,,,,
,PLAYSTATION 4,PS4,,,,,,
,RX-V6A,,,,,,,
,JBL BAR 1000,,,,,,,
,碼???磨??魔邈,,,,,,,
LG SJ3(00),,,,,,,,
,TELEWIZOR W SA,PLAY,,,,,,
LG SNH5(03),DIGITURK SET 횥ST횥 KUTU,DIGITURK,,,,,,
SY-BT1632(7D),HDMI 2,,,,,,,
,HDMI 1,,,,,,,
,HDMI 2,,,,,,,
,FIRE TV STICK,,,,,,,
,AMAZON FIRETV,AMAZON,,,,,,
,AV,,,,,,,
,HIWAY,INEA,AUDIO SYSTEM,PANASONIC,PLAYSTATION 5,PS5,,
,PS5 GAME CONSOLE,PS5,APPLE TV,APPLE,,,,
,MAGYAR TELEKOM BELT횋RI EGYS횋G,MAGYAR TELEKOM,,,,,,
,SHIELD,SHIELD,JBL BAR 9.1,JBL,,,,
,AVR-X2700H,,,,,,,
ULT WEAR(15),,,,,,,,
FRESH ?셄 REBEL 3AHP201(D2),,,,,,,,
,FIRE TV STICK,,,,,,,
,BOX TV,NETPLUS,,,,,,
BOSE QC ULTRA HEADPHONES(54),,,,,,,,
,HDMI 2,,,,,,,
,HDMI 1,,,,,,,
BOSE QC HEADPHONES(A5),,,,,,,,
,AMAZON FIRE T,,,,,,,
,MEDIABOX 2,ZIGGO,,,,,,
,HDMI 2,,,,,,,
,SKY Q,SKY Q,,,,,,
HT-SF200/201(E7),,,,,,,,
,LG USC9S,LG,,,,,,
,PLAYSTATION 5,PS5,,,,,,
,LG DS80TR,LG,,,,,,
,B&O THEATRE,,,,,,,
,CHROMECAST HD,,PLAYSTATION 5,PS5,,,,
,HDMI 2,,,,,,,
,HDMI 1,,,,,,,
,LG S80TY,LG,HD+,,,,,
,HDMI 1,,,,,,,
,HDMI 3,,,,,,,
SOUNDCORE AEROFIT 2(6C),,,,,,,,
,HDMI 1,,,,,,,
622539(07),HDMI 1,,,,,,,
,HDMI 2,,,,,,,
,DEKODER 4K MUL,ORANGE,,,,,,
,APPLE TV,APPLE,,,,,,
,SOUNDBAR 900,BOSE,HD+,,,,,
,OTETV ????廓????????課?誇 SET-TOP BOX,OTETV,XIAOMI TV BOX,HELLAS ONLINE,,,,
,FIRE TV STICK,AMAZON,,,,,,
,HDMI 1,,,,,,,
,HDMI 1,,,,,,,
,SONOS ARC,PS5,,,,,,
,HDMI 1,,,,,,,
,BD_PLAYER,LG,DENON SOUNDBAR,DENON,,,,
,APPLE TV,APPLE,,,,,,
SOUNDCORE V20I(2A),HD+,,,,,,,
,LG CHANNELS,,,,,,,
BEOSOUND LEVEL-37354608(D1),,,,,,,,
LG SQC1(9E),,,,,,,,
,HDMI 1,,,,,,,
,PS5 CONSOLA DE JUEGOS,PS5,,,,,,
SALON(E1),SFR BO횓TIER D횋CODEUR /BOX INTERNET,SFR,,,,,,
[HTS]F9750W(95),VODAFONE KABEL DEUTSCHLAND DEKODER,VODAFONE KABEL DEUTSCHLAND,BD-THEATER,SAMSUNG,RECEIVER,SAMSUNG,VODAFONE KABEL DEUTSCHLAND DEKODER,VODAFONE KABEL DEUTSCHLAND
,HDMI 3,,,,,,,
,SKY Q,SKY Q,,,,,,
,SKY,SKY,,,,,,
,AMAZON FIRETV,AMAZON,,,,,,
,HDMI 1,,,,,,,
,PO훻횒TA훻,,,,,,,
,LG USC9S,LG,FREESAT TV BOX,FREESAT UK,,,,
AIRPODS PRO(AC),,,,,,,,
CRYSTAL AUDIO CASB240HD(48),HDMI 1,,,,,,,
,LG S40TR,,UPC DEKODER,UPC,,,,
,MY-HD 寞?碼万 ?? 碼?魔娩??邈,MY-HD,,,,,,
,VIP1113,ARRIS,,,,,,
BOSE SOUNDLIN(B4),,,,,,,,
,LG DSG10TY,,HD+,,,,,
,AMAZON FIRETV,,LG S95TR,LG,,,,
LG S77TY(F8),FREEBOX PLAYE,,,,,,,
,APPLE TV,APPLE,TV:N I VARDAGS,,CBS540A,,,
,LG DS90TY,LG,,,,,,
,AMAZON FIRETV,AMAZON,,,,,,
,HDMI 1,,,,,,,
,MAGENTATV ONE,DEUTSCHE TELEKOM,,,,,,
YQ-88C(2C),,,,,,,,
,HDMI 1,,,,,,,
,HDMI 3,,,,,,,
,PS4 SPIELKONSOLE,PS4,HD+,,,,,
,AV,,,,,,,
,HDMI 1,,,,,,,
,AV,,HDMI 1,,,,,
BOSE DI RAFFA(56),APPLE TV,APPLE,SKY,SKY Q,,,,
,WAIPU TV STICK,,,,,,,
,HDMI 1,,,,,,,
,DIGITURK SET 횥ST횥 KUTU,DIGITURK,,,,,,
,PLAYSTATION 5,PS5,AUDIO SYSTEM,PHILIPS,,,,
,HDMI 1,,,,,,,
JBL BOOMBOX 2(EB),HD+,,,,,,,
LG S40TR(B9),SF8008,,LG S40TR,LG,,,,
,KPN DECODER,KPN,,,,,,
,HDMI 1,,,,,,,
,HDMI 1,,,,,,,
,AV,,HDMI 1,,,,,
MUSE M-282 CTV(D0),HDMI 2,,,,,,,
,SKY Q,,FIRE TV STICK,,,,,
,SKY Q,,,,,,,
,MEDIABOX 1,ZIGGO,ARC ULTRA,SONOS,APPLE TV,APPLE,,
,AVR-X2800H,,,,,,,
,PLAYSTATION 5,PS5,,,,,,
,SKYLINK CZ,,,,,,,
,HDMI 1,,,,,,,
,XIAOMI TV KUTU,XIAOMI,,,,,,
,HDMI 4,,,,,,,
,DAGLIGSTUE,APPLE,,,,,,
,4K ULTRABOX+,CANAL+ POLSKA,,,,,,
ECHO DOT-FTC(C1),,,,,,,,
